Temperature,Moisture,Rainfall,PH,Nitrogen,Phosphorous,Potassium,Carbon,Soil,Crop,Fertilizer,Remark
35.46,0.271,116.82,6.9,25.82,85.75,111.81,0.7,Acidic Soil,Potato,Urea,Recommended
44.67,0.462,174.13,7.13,95.78,98.88,117.94,1.44,Clay Soil,Sugarcane,Urea,Recommended
29.45,0.694,149.74,6.16,54.76,40.29,72.68,1.93,Peaty Soil,Cotton,Urea,Recommended
39.18,0.776,248.84,6.86,39.0,52.02,82.1,0.71,Loamy Soil,Potato,Urea,Recommended
30.91,0.761,295.58,6.61,45.81,23.47,140.2,2.8,Peaty Soil,Maize,Urea,Recommended
37.39,0.253,133.24,5.93,43.56,99.67,110.6,1.46,Loamy Soil,Maize,Urea,Recommended
27.02,0.865,278.05,6.41,69.61,42.19,44.46,1.66,Sandy Soil,Cotton,Urea,Recommended
34.59,0.254,294.88,7.47,75.85,62.89,60.24,2.53,Peaty Soil,Sugarcane,Urea,Recommended
23.33,0.253,288.11,6.33,66.49,93.53,30.76,2.69,Clay Soil,Sugarcane,Urea,Recommended
24.12,0.488,255.52,6.46,98.82,50.14,117.45,1.48,Clay Soil,Maize,Urea,Recommended
34.23,0.244,107.36,5.77,21.09,26.03,109.92,1.84,Acidic Soil,Potato,Urea,Recommended
42.83,0.61,245.22,7.01,50.23,39.29,46.66,1.13,Acidic Soil,Sugarcane,Urea,Recommended
25.18,0.815,251.4,5.59,41.49,21.77,84.76,1.69,Clay Soil,Maize,Urea,Recommended
27.69,0.771,293.59,5.68,83.35,67.2,82.41,1.55,Acidic Soil,Sugarcane,Urea,Recommended
35.98,0.764,280.63,6.73,98.44,68.65,102.76,1.89,Clay Soil,Wheat,Urea,Recommended
28.71,0.56,256.73,6.29,69.77,88.99,143.44,0.87,Loamy Soil,Wheat,Urea,Recommended
39.22,0.246,109.17,6.74,47.79,36.73,95.35,1.35,Loamy Soil,Maize,Urea,Recommended
23.47,0.649,136.38,6.19,91.74,57.92,106.78,0.93,Sandy Soil,Maize,Urea,Recommended
21.02,0.318,155.72,5.85,27.1,29.65,79.9,1.02,Sandy Soil,Rice,Urea,Recommended
32.59,0.683,107.86,7.1,70.23,26.54,133.57,2.8,Acidic Soil,Rice,Urea,Recommended
26.92,0.764,249.65,5.87,36.75,49.64,82.99,2.05,Sandy Soil,Sugarcane,Urea,Recommended
21.56,0.303,126.62,6.87,87.56,79.97,23.96,2.67,Clay Soil,Maize,Urea,Recommended
26.06,0.388,175.46,5.54,45.77,36.92,62.57,0.8,Loamy Soil,Sugarcane,Urea,Recommended
34.84,0.675,257.83,6.5,26.95,62.97,96.29,2.36,Loamy Soil,Cotton,Urea,Recommended
23.19,0.399,172.62,6.79,65.66,48.49,148.25,2.01,Loamy Soil,Sugarcane,Urea,Recommended
22.54,0.307,149.19,5.82,34.93,42.81,42.54,2.74,Clay Soil,Maize,Urea,Recommended
20.46,0.688,299.45,7.29,66.08,93.39,20.69,2.94,Clay Soil,Potato,Urea,Recommended
43.23,0.59,214.32,6.06,81.56,34.96,62.08,1.56,Loamy Soil,Cotton,Urea,Recommended
26.06,0.28,222.12,6.08,66.5,32.35,82.55,1.83,Loamy Soil,Potato,Urea,Recommended
28.42,0.294,112.67,7.48,45.79,84.79,53.1,2.2,Loamy Soil,Rice,Urea,Recommended
34.89,0.53,182.37,6.2,94.36,86.45,145.45,0.81,Clay Soil,Rice,Urea,Recommended
25.13,0.465,285.29,6.94,23.85,82.52,127.63,2.38,Peaty Soil,Potato,Urea,Recommended
40.63,0.33,147.14,6.77,92.63,45.3,96.48,2.21,Clay Soil,Sugarcane,Urea,Recommended
27.53,0.723,200.54,5.96,91.97,50.71,90.66,2.77,Clay Soil,Maize,Urea,Recommended
30.79,0.433,246.11,6.89,33.34,90.29,84.41,2.35,Clay Soil,Cotton,Urea,Recommended
44.94,0.727,241.4,7.06,31.45,36.36,112.83,1.73,Sandy Soil,Rice,Urea,Recommended
22.57,0.576,175.76,6.41,68.32,60.18,90.18,1.72,Peaty Soil,Cotton,Urea,Recommended
39.3,0.209,219.69,6.63,77.29,67.92,127.48,2.9,Sandy Soil,Potato,DAP,Recommended
35.37,0.838,127.82,5.7,40.48,78.09,97.09,0.76,Peaty Soil,Sugarcane,DAP,Recommended
43.06,0.695,130.51,6.65,68.54,53.93,115.74,2.84,Clay Soil,Rice,DAP,Recommended
22.83,0.889,267.78,5.75,93.67,89.59,87.45,1.98,Acidic Soil,Rice,DAP,Recommended
38.61,0.344,257.56,6.71,29.14,53.16,132.26,2.81,Sandy Soil,Maize,DAP,Recommended
38.44,0.517,144.92,6.4,31.27,34.11,84.79,1.55,Loamy Soil,Rice,DAP,Recommended
39.51,0.394,144.02,5.93,61.21,98.04,79.67,1.89,Peaty Soil,Sugarcane,DAP,Recommended
24.61,0.41,161.99,6.29,54.14,83.98,65.42,1.67,Loamy Soil,Sugarcane,DAP,Recommended
29.44,0.786,217.49,6.09,77.12,62.21,89.48,1.7,Clay Soil,Cotton,DAP,Recommended
24.55,0.803,289.22,6.25,41.66,71.52,73.14,0.56,Peaty Soil,Wheat,DAP,Recommended
41.67,0.486,210.34,6.01,35.69,60.44,97.36,1.35,Acidic Soil,Maize,DAP,Recommended
42.19,0.59,244.16,7.11,99.1,68.26,124.89,2.91,Peaty Soil,Sugarcane,DAP,Recommended
23.53,0.484,164.8,5.67,70.66,78.87,130.26,0.81,Clay Soil,Cotton,DAP,Recommended
36.07,0.693,282.12,6.75,46.87,86.01,67.2,0.59,Peaty Soil,Sugarcane,DAP,Recommended
28.63,0.742,172.55,7.22,37.56,97.96,121.37,0.79,Clay Soil,Potato,DAP,Recommended
31.78,0.327,196.96,6.52,79.33,75.91,72.33,1.05,Clay Soil,Potato,DAP,Recommended
44.61,0.568,134.34,6.04,21.47,93.14,35.31,1.94,Sandy Soil,Rice,DAP,Recommended
30.13,0.548,244.04,5.71,31.2,41.09,54.64,2.33,Sandy Soil,Cotton,DAP,Recommended
35.83,0.546,214.66,7.18,52.35,81.67,74.86,1.38,Clay Soil,Rice,DAP,Recommended
22.07,0.622,149.07,6.28,43.1,48.45,113.48,1.24,Clay Soil,Potato,DAP,Recommended
31.9,0.665,287.37,6.97,37.2,22.49,54.09,1.99,Clay Soil,Rice,DAP,Recommended
32.41,0.618,166.85,7.04,28.53,26.01,114.66,1.74,Clay Soil,Wheat,DAP,Recommended
31.49,0.253,115.55,5.5,97.42,20.42,33.4,1.29,Clay Soil,Maize,DAP,Recommended
44.05,0.753,238.11,6.54,26.94,96.65,118.59,2.1,Loamy Soil,Sugarcane,DAP,Recommended
37.31,0.794,149.93,6.48,37.7,99.01,142.73,0.6,Sandy Soil,Rice,DAP,Recommended
24.51,0.598,283.1,5.57,75.79,43.79,140.17,2.93,Acidic Soil,Wheat,DAP,Recommended
38.63,0.238,191.03,6.54,71.56,72.01,67.41,1.9,Acidic Soil,Wheat,DAP,Recommended
42.12,0.571,188.21,6.31,65.79,84.32,89.99,2.15,Acidic Soil,Wheat,DAP,Recommended
33.0,0.499,275.33,6.34,56.96,99.23,20.03,0.96,Sandy Soil,Maize,DAP,Recommended
21.75,0.207,110.54,5.68,23.01,58.38,95.5,1.18,Loamy Soil,Wheat,DAP,Recommended
22.29,0.435,204.5,6.96,20.27,57.38,58.61,2.63,Sandy Soil,Potato,DAP,Recommended
34.73,0.394,282.07,5.59,28.76,51.33,36.18,2.89,Acidic Soil,Sugarcane,DAP,Recommended
26.47,0.612,296.47,7.27,68.06,92.3,148.59,2.36,Peaty Soil,Maize,DAP,Recommended
30.04,0.786,146.11,7.16,29.63,23.76,69.93,0.59,Sandy Soil,Maize,DAP,Recommended
40.66,0.761,225.96,5.93,61.46,67.78,88.25,1.15,Clay Soil,Wheat,DAP,Recommended
32.28,0.897,279.49,6.43,69.83,79.83,24.53,2.74,Acidic Soil,Wheat,DAP,Recommended
31.44,0.474,154.59,6.45,23.55,88.18,24.6,1.32,Loamy Soil,Sugarcane,DAP,Recommended
38.38,0.397,150.53,5.51,75.66,23.9,89.24,2.91,Acidic Soil,Cotton,DAP,Recommended
21.9,0.796,199.03,6.46,67.39,85.97,65.22,2.2,Clay Soil,Sugarcane,DAP,Recommended
26.68,0.815,259.49,6.82,88.05,89.38,112.09,2.59,Loamy Soil,Sugarcane,DAP,Recommended
37.0,0.633,250.54,5.82,90.47,89.75,23.8,2.56,Sandy Soil,Maize,DAP,Recommended
25.72,0.836,100.22,6.61,80.53,40.7,45.11,0.71,Clay Soil,Rice,DAP,Recommended
34.0,0.281,175.34,5.52,85.49,30.28,56.83,0.55,Loamy Soil,Wheat,DAP,Recommended
28.55,0.643,286.41,5.71,94.98,75.03,28.82,1.25,Loamy Soil,Cotton,DAP,Recommended
21.68,0.608,169.18,6.74,23.66,89.72,146.55,2.92,Peaty Soil,Maize,DAP,Recommended
23.25,0.731,104.92,5.54,45.89,59.09,120.15,2.21,Sandy Soil,Wheat,DAP,Recommended
26.84,0.898,185.24,6.4,33.09,83.58,110.18,1.05,Sandy Soil,Potato,DAP,Recommended
25.75,0.292,273.61,7.43,22.5,78.5,138.24,2.64,Peaty Soil,Potato,DAP,Recommended
39.0,0.51,162.39,6.14,77.95,79.67,46.05,2.67,Peaty Soil,Wheat,DAP,Recommended
41.61,0.531,293.64,5.87,89.49,82.13,120.22,2.61,Peaty Soil,Maize,DAP,Recommended
39.92,0.406,282.37,7.44,34.84,56.97,20.16,2.0,Peaty Soil,Cotton,DAP,Recommended
30.76,0.34,198.32,5.63,66.56,41.52,123.68,1.28,Acidic Soil,Rice,DAP,Recommended
20.29,0.251,178.5,6.46,68.0,43.33,110.35,2.65,Loamy Soil,Maize,DAP,Recommended
32.01,0.273,148.41,7.47,31.4,59.91,100.36,2.26,Sandy Soil,Wheat,DAP,Recommended
28.16,0.562,117.57,6.2,22.66,26.29,71.6,0.83,Sandy Soil,Potato,DAP,Recommended
37.33,0.775,108.24,6.84,96.12,29.94,136.51,1.99,Loamy Soil,Rice,DAP,Recommended
37.73,0.81,242.82,7.1,47.16,85.19,30.41,2.74,Peaty Soil,Potato,DAP,Recommended
40.43,0.517,228.72,6.55,78.53,26.53,27.85,1.12,Acidic Soil,Rice,DAP,Recommended
41.79,0.353,295.17,6.17,34.57,83.18,105.63,1.75,Sandy Soil,Potato,DAP,Recommended
37.98,0.36,299.27,7.45,72.03,35.96,108.43,0.68,Loamy Soil,Cotton,DAP,Recommended
24.35,0.873,183.18,7.19,70.3,78.83,119.8,1.76,Sandy Soil,Rice,DAP,Recommended
32.85,0.612,105.88,6.29,68.5,67.82,123.08,2.14,Clay Soil,Maize,DAP,Recommended
27.1,0.451,176.77,6.43,86.88,38.86,120.88,1.51,Sandy Soil,Cotton,DAP,Recommended
29.32,0.559,182.61,5.64,54.97,27.79,72.65,1.98,Loamy Soil,Cotton,DAP,Recommended
34.82,0.314,178.22,7.44,40.65,72.54,62.27,2.43,Peaty Soil,Sugarcane,DAP,Recommended
25.93,0.364,276.74,6.38,46.47,55.9,107.02,0.86,Acidic Soil,Cotton,DAP,Recommended
34.7,0.864,150.51,6.22,50.35,68.44,66.38,1.83,Loamy Soil,Rice,DAP,Recommended
37.63,0.512,272.84,6.62,63.19,22.74,148.27,0.81,Acidic Soil,Cotton,DAP,Recommended
21.29,0.648,144.94,5.86,27.08,28.26,96.01,2.22,Peaty Soil,Sugarcane,DAP,Recommended
32.0,0.68,103.48,6.15,97.85,66.41,53.05,1.8,Peaty Soil,Potato,DAP,Recommended
23.49,0.221,161.59,6.91,36.15,73.87,146.09,0.73,Acidic Soil,Potato,DAP,Recommended
41.7,0.324,238.53,7.18,95.57,74.66,84.63,2.04,Loamy Soil,Cotton,DAP,Recommended
22.83,0.757,283.74,6.7,95.27,86.15,106.71,1.94,Peaty Soil,Wheat,DAP,Recommended
44.99,0.234,295.43,6.31,89.66,82.59,93.71,2.35,Peaty Soil,Wheat,DAP,Recommended
30.1,0.429,233.52,7.12,80.98,83.83,76.63,2.54,Loamy Soil,Sugarcane,DAP,Recommended
28.11,0.457,179.23,6.89,51.08,55.9,50.88,1.43,Peaty Soil,Potato,DAP,Recommended
21.83,0.622,233.64,6.74,57.08,50.38,132.23,1.8,Peaty Soil,Sugarcane,DAP,Recommended
40.34,0.276,129.8,6.55,39.69,58.14,71.27,1.87,Sandy Soil,Cotton,DAP,Recommended
43.89,0.213,139.16,5.52,71.8,91.84,51.65,2.82,Peaty Soil,Sugarcane,DAP,Recommended
31.98,0.336,133.27,6.73,61.85,73.61,140.85,1.83,Sandy Soil,Cotton,DAP,Recommended
37.94,0.48,295.35,7.15,61.8,29.86,131.72,2.5,Loamy Soil,Wheat,DAP,Recommended
24.63,0.842,184.91,5.67,85.26,49.88,88.44,0.78,Acidic Soil,Potato,DAP,Recommended
40.48,0.819,145.62,5.92,68.88,52.88,129.18,2.75,Loamy Soil,Wheat,DAP,Recommended
26.39,0.411,246.39,7.2,73.71,84.76,119.67,0.87,Sandy Soil,Sugarcane,MOP,Recommended
24.2,0.716,272.56,5.93,27.66,21.89,103.46,2.02,Clay Soil,Wheat,MOP,Recommended
26.42,0.642,111.69,5.78,41.96,67.76,107.86,1.61,Acidic Soil,Rice,MOP,Recommended
37.31,0.894,125.68,5.71,77.95,66.27,55.64,0.7,Acidic Soil,Rice,MOP,Recommended
34.89,0.481,173.39,6.19,69.37,55.39,128.14,2.17,Peaty Soil,Maize,MOP,Recommended
36.0,0.39,218.56,6.86,38.47,56.55,44.74,0.63,Peaty Soil,Wheat,MOP,Recommended
29.07,0.897,189.27,6.17,66.44,27.1,145.02,2.09,Loamy Soil,Wheat,MOP,Recommended
22.42,0.515,251.23,6.2,73.19,83.64,140.53,1.09,Peaty Soil,Maize,MOP,Recommended
23.81,0.895,285.4,6.58,87.36,61.68,101.07,0.72,Loamy Soil,Sugarcane,MOP,Recommended
40.65,0.747,241.75,5.57,44.25,41.05,66.82,0.72,Clay Soil,Rice,MOP,Recommended
33.85,0.414,179.4,6.39,68.05,61.25,139.52,1.74,Peaty Soil,Sugarcane,MOP,Recommended
29.78,0.551,179.44,6.58,70.24,73.94,89.22,2.3,Clay Soil,Cotton,MOP,Recommended
40.47,0.426,104.58,5.81,37.89,96.59,94.5,2.83,Sandy Soil,Rice,MOP,Recommended
31.98,0.42,221.27,5.78,91.86,86.35,61.28,2.88,Loamy Soil,Sugarcane,MOP,Recommended
29.19,0.248,105.16,5.77,97.05,63.96,145.56,1.58,Acidic Soil,Potato,MOP,Recommended
41.9,0.394,270.29,5.5,21.42,68.2,67.42,1.47,Acidic Soil,Maize,MOP,Recommended
24.79,0.348,196.92,7.01,69.56,43.79,75.94,0.93,Acidic Soil,Rice,MOP,Recommended
39.57,0.386,135.55,6.88,69.44,70.66,49.76,1.08,Peaty Soil,Cotton,MOP,Recommended
24.34,0.659,269.6,6.95,83.37,52.38,105.03,1.39,Clay Soil,Cotton,MOP,Recommended
32.04,0.324,177.42,7.43,39.89,30.7,74.42,2.48,Acidic Soil,Wheat,MOP,Recommended
37.02,0.333,223.79,6.15,86.74,70.34,45.85,0.66,Peaty Soil,Rice,MOP,Recommended
22.74,0.584,190.88,7.19,27.85,59.06,39.51,1.31,Peaty Soil,Wheat,MOP,Recommended
31.9,0.463,178.9,6.42,82.8,91.37,144.19,2.47,Loamy Soil,Rice,MOP,Recommended
37.2,0.506,150.93,7.18,23.07,92.14,79.99,2.09,Sandy Soil,Maize,MOP,Recommended
31.25,0.359,277.88,6.4,90.6,28.46,148.48,1.61,Acidic Soil,Rice,MOP,Recommended
38.66,0.661,260.43,5.71,22.85,60.69,70.39,1.65,Peaty Soil,Maize,MOP,Recommended
44.27,0.86,256.77,6.21,52.97,63.97,127.97,0.67,Sandy Soil,Potato,MOP,Recommended
22.07,0.56,279.78,7.06,38.23,98.08,106.76,0.53,Peaty Soil,Potato,MOP,Recommended
26.52,0.248,291.97,6.46,91.67,45.78,36.28,1.69,Sandy Soil,Potato,MOP,Recommended
32.15,0.844,204.15,6.73,32.53,23.5,34.41,2.0,Loamy Soil,Rice,MOP,Recommended
29.4,0.585,177.73,5.83,41.9,94.27,107.88,1.74,Loamy Soil,Sugarcane,MOP,Recommended
27.15,0.771,272.27,7.19,93.51,40.18,118.16,1.65,Peaty Soil,Maize,MOP,Recommended
28.0,0.727,153.87,6.58,78.24,28.64,109.09,0.73,Sandy Soil,Maize,MOP,Recommended
23.77,0.44,182.68,7.02,79.47,68.96,33.77,0.88,Peaty Soil,Rice,MOP,Recommended
39.03,0.312,192.31,5.52,39.73,78.12,148.94,0.75,Sandy Soil,Wheat,MOP,Recommended
25.1,0.589,246.61,6.73,35.04,48.43,121.89,1.89,Sandy Soil,Wheat,MOP,Recommended
41.0,0.783,102.21,7.0,80.69,74.27,118.31,2.6,Clay Soil,Sugarcane,MOP,Recommended
23.12,0.47,228.67,7.06,37.38,31.03,106.2,0.5,Acidic Soil,Wheat,MOP,Recommended
35.49,0.449,258.84,5.69,67.06,58.48,103.5,0.66,Sandy Soil,Cotton,MOP,Recommended
34.02,0.622,235.29,7.11,41.59,86.0,84.77,0.69,Acidic Soil,Cotton,MOP,Recommended
39.62,0.695,257.72,6.53,55.22,31.8,62.67,1.59,Sandy Soil,Cotton,MOP,Recommended
21.56,0.761,253.32,6.97,43.96,33.88,102.88,1.74,Clay Soil,Potato,MOP,Recommended
44.78,0.723,248.0,7.4,36.23,65.24,147.35,0.91,Clay Soil,Rice,MOP,Recommended
34.65,0.611,239.53,7.36,82.61,24.49,130.85,1.06,Acidic Soil,Sugarcane,MOP,Recommended
31.54,0.537,187.04,7.37,76.48,70.49,26.48,2.76,Clay Soil,Rice,MOP,Recommended
39.51,0.205,111.46,5.95,30.51,51.91,139.94,1.68,Acidic Soil,Potato,MOP,Recommended
27.07,0.231,107.26,6.05,42.05,82.97,146.73,1.43,Sandy Soil,Rice,MOP,Recommended
39.42,0.246,197.51,5.57,25.01,92.51,38.1,1.83,Loamy Soil,Maize,MOP,Recommended
28.68,0.83,104.36,6.83,97.07,64.81,141.79,0.63,Peaty Soil,Potato,MOP,Recommended
38.27,0.887,151.31,6.81,35.85,65.23,80.31,2.93,Peaty Soil,Rice,MOP,Recommended
24.58,0.215,244.0,6.34,27.11,74.7,90.86,2.95,Acidic Soil,Wheat,MOP,Recommended
30.1,0.58,258.34,6.6,69.03,38.09,130.1,1.57,Acidic Soil,Wheat,MOP,Recommended
36.6,0.351,119.51,7.22,56.81,79.94,57.78,2.47,Peaty Soil,Maize,MOP,Recommended
31.48,0.236,257.26,5.9,40.69,33.18,62.93,2.39,Acidic Soil,Potato,MOP,Recommended
24.04,0.379,289.33,6.62,80.06,64.64,91.83,0.74,Clay Soil,Cotton,MOP,Recommended
33.47,0.548,121.09,6.81,85.77,50.43,120.83,2.91,Peaty Soil,Wheat,MOP,Recommended
22.35,0.45,251.5,6.05,44.99,71.41,45.46,2.74,Sandy Soil,Wheat,MOP,Recommended
31.19,0.59,133.21,6.73,49.05,91.77,41.95,1.77,Peaty Soil,Rice,MOP,Recommended
20.83,0.455,246.53,7.14,45.05,83.89,145.81,2.64,Loamy Soil,Cotton,MOP,Recommended
38.49,0.424,297.68,6.47,29.79,78.01,61.99,2.99,Sandy Soil,Maize,MOP,Recommended
24.06,0.209,211.95,6.55,77.55,91.22,30.32,2.33,Acidic Soil,Cotton,MOP,Recommended
41.45,0.773,208.16,6.92,45.15,57.69,126.81,1.65,Acidic Soil,Wheat,MOP,Recommended
40.48,0.816,205.09,5.99,29.04,26.97,113.48,1.55,Sandy Soil,Rice,MOP,Recommended
38.49,0.334,222.76,6.37,66.18,79.05,124.81,2.61,Clay Soil,Maize,MOP,Recommended
20.78,0.718,121.27,6.13,20.31,74.53,41.73,2.14,Loamy Soil,Maize,MOP,Recommended
37.35,0.559,161.06,5.93,22.66,44.32,104.91,2.85,Peaty Soil,Rice,MOP,Recommended
39.15,0.752,233.0,6.02,92.58,73.66,92.86,0.78,Peaty Soil,Sugarcane,MOP,Recommended
33.67,0.466,295.36,5.72,53.8,23.36,116.19,2.8,Loamy Soil,Maize,MOP,Recommended
44.32,0.778,239.86,7.18,98.54,69.71,92.69,2.07,Loamy Soil,Cotton,MOP,Recommended
35.88,0.515,143.69,5.74,25.47,41.07,26.0,1.92,Peaty Soil,Rice,MOP,Recommended
40.61,0.252,145.27,6.96,67.9,25.16,134.04,2.69,Acidic Soil,Potato,MOP,Recommended
28.51,0.892,225.24,6.56,87.05,42.82,75.79,1.17,Sandy Soil,Sugarcane,MOP,Recommended
33.04,0.245,266.27,6.7,29.19,27.51,138.25,2.17,Loamy Soil,Wheat,MOP,Recommended
41.97,0.6,203.49,6.36,45.36,54.77,120.6,2.0,Sandy Soil,Cotton,MOP,Recommended
31.08,0.625,226.26,6.68,76.21,38.99,86.61,0.76,Peaty Soil,Sugarcane,MOP,Recommended
44.27,0.384,154.31,6.45,98.71,41.52,72.91,2.73,Sandy Soil,Rice,MOP,Recommended
20.99,0.623,281.48,5.98,57.57,56.04,81.49,2.06,Clay Soil,Sugarcane,MOP,Recommended
31.86,0.614,207.4,7.21,23.96,86.67,129.71,1.21,Acidic Soil,Sugarcane,MOP,Recommended
34.3,0.559,158.7,7.36,51.76,26.97,100.22,0.78,Clay Soil,Maize,MOP,Recommended
32.69,0.812,198.71,6.9,99.43,30.52,55.72,1.49,Peaty Soil,Maize,MOP,Recommended
30.28,0.835,242.81,6.72,44.75,85.9,144.16,2.55,Loamy Soil,Maize,MOP,Recommended
20.05,0.702,265.92,5.58,89.73,40.54,106.49,2.5,Peaty Soil,Wheat,MOP,Recommended
22.31,0.617,209.92,7.3,52.34,45.69,117.48,1.53,Acidic Soil,Rice,MOP,Recommended
36.16,0.822,219.74,6.5,31.11,29.26,40.06,0.93,Clay Soil,Sugarcane,NPK,Recommended
42.56,0.247,206.79,5.78,20.94,53.76,58.36,1.72,Acidic Soil,Wheat,NPK,Recommended
42.75,0.766,143.21,6.43,85.34,25.39,70.36,2.63,Peaty Soil,Maize,NPK,Recommended
21.94,0.58,272.35,6.68,38.1,50.74,78.52,1.95,Loamy Soil,Maize,NPK,Recommended
34.55,0.46,220.21,6.91,75.07,49.96,41.69,1.58,Peaty Soil,Sugarcane,NPK,Recommended
42.25,0.442,130.89,5.55,71.67,70.95,64.28,0.68,Clay Soil,Rice,NPK,Recommended
22.53,0.793,206.22,7.18,66.42,64.78,33.68,0.92,Sandy Soil,Sugarcane,NPK,Recommended
25.71,0.884,206.38,5.77,27.94,36.71,140.33,1.54,Clay Soil,Wheat,NPK,Recommended
27.83,0.303,197.57,5.76,86.84,49.63,68.72,1.69,Peaty Soil,Wheat,NPK,Recommended
